Nr. Gamintojas     Modelis             Metai     Kaina
 15 Dodge          Caravan              1999    771.29
 16 Mitsubishi     Lancer               2007  99113.67
 17 GMC            Rally-Wagon-2500     1994  71868.72
 18 Land-Rover     Discovery            2008  72272.74
 19 Nissan         350Z-Roadster        2006  30725.46
 20 Toyota         Xtra                 1992  66090.60
 21 Chevrolet      Camaro               1997  77223.11
 22 Jaguar         S-Type               2002  97468.14
------------------------------------------------------
  1 Saturn         S-Series             2000  57253.32
  2 Honda          Odyssey              2007  98815.07
  3 Lexus          GS                   2005  68025.17
  4 GMC            Yukon-XL-1500        2010  12955.30
  5 Kia            Forte                2010  32906.07
  6 Chevrolet      Silverado-3500       2003  44328.09
  7 Mazda          B-Series             1986  76145.17
  8 Volvo          S40                  2010  10498.70
  9 Volkswagen     R32                  2009  54184.49
 10 Pontiac        Firebird             1987  51472.17
 11 Mercury        Sable                2000  33670.41
 12 Lexus          LS                   1991  13032.77
 13 Mercedes-Benz  M-Class              1998  59373.06
 14 Mazda          B-Series             1986   2308.52
 15 Infiniti       QX                   2000  13992.89
 16 Buick          Regal                1992  91304.09
 17 Volkswagen     Golf                 2010  99674.17
 18 Mitsubishi     GTO                  1991  62270.71
------------------------------------------------------
Nr. Gamintojas                                     Modelis                                          Metai       Kaina
---------------------------------------------------------------------------------------------------------------------
  1 MazdaSaturnMaseratiNissanBentley               B-SeriesS-SeriesQuattroporteAltimaContinental    10002   198729.82
  2 Alfa-RomeoHondaSaabLincolnAcura                SpiderOdyssey9-5Town-CarLegend                    9994   360869.28
  3 GMCLexusFordMazdaMaybach                       SavanaGSCrown-VictoriaCX-762                     10030   303834.66
  4 Mercedes-BenzGMCVolvoVolkswagenLand-Rover      600SLYukon-XL-1500S40GTIDiscovery                10036   290761.10
  5 ToyotaKiaMercedes-BenzToyotaSubaru             Land-CruiserForteSL-ClassSupraLegacy              9978   164012.64
  6 MitsubishiChevroletVolvoIsuzuPorsche           TruckSilverado-3500240RodeoBoxster                9984   242800.04
  7 FordMazdaDodgeAudiChevrolet                    LaserB-SeriesRam-3500S6Sportvan-G30               9981   372073.05
  8 MINIVolvoCadillacAudiLexus                     ClubmanS40STSAllroadGX                           10040   188735.84
  9 BuickVolkswagenToyotaToyotaDodge               RegalR32VenzaCelicaChallenger                    10032   139422.44
 10 ToyotaPontiacChevroletChevroletChrysler        TacomaFirebirdCruzeExpress-3500Crossfire         10019   195276.50
 11 KiaMercuryToyotaCadillacToyota                 RondoSableSequoiaCTS-VIpsum                      10017   256831.57
 12 PlymouthLexusGMCLand-Rover                     Grand-VoyagerLSYukon-XL-1500Range-Rover-Sport     8009   165746.18
 13 MercuryMercedes-BenzVolkswagen                 VillagerM-ClassJetta                              6002   160856.08
 14 MazdaVolvo                                     B-SeriesS80                                       3989    13371.83
 15 InfinitiDodge                                  QXCaravan                                         3999    14764.18
 16 BuickMitsubishi                                RegalLancer                                       3999   190417.76
 17 VolkswagenGMC                                  GolfRally-Wagon-2500                              4004   171542.89
 18 MitsubishiLand-Rover                           GTODiscovery                                      3999   134543.45
 19 Nissan                                         350Z-Roadster                                     2006    30725.46
 20 Toyota                                         Xtra                                              1992    66090.60
 21 Chevrolet                                      Camaro                                            1997    77223.11
 22 Jaguar                                         S-Type                                            2002    97468.14
---------------------------------------------------------------------------------------------------------------------
